date,shift,mine_id,face_id,planned_tonnes,actual_tonnes,ore_grade,stockpile_tonnes,operating_hours,downtime_hours,downtime_reason,availability,blast_delay_hours,blast_status,rainfall_mm,soil_moisture,land_temperature,haul_road_condition
2026-02-04,C,MOIL-BAL,F03,483.3,418.9,36.27,1180.7,18.7,5.47,Hydraulic Issue,0.772,3.0,Completed,1.15,0.257,26.44,Good
2026-02-05,B,MOIL-BAL,F03,462.0,432.3,41.96,1087.4,18.7,1.89,Hydraulic Issue,0.921,0.0,Completed,5.5,0.302,31.36,Good
2026-02-06,C,MOIL-BAL,F04,501.9,437.0,35.86,1126.8,15.4,2.5,None,0.896,6.33,Delayed,13.23,0.437,30.8,Wet
2026-02-07,A,MOIL-BAL,F04,423.9,330.2,36.12,1284.8,19.5,4.48,None,0.813,0.0,Completed,21.12,0.463,29.23,Poor
2026-02-08,B,MOIL-BAL,F01,456.0,442.6,36.53,1192.8,22.1,0.0,None,0.99,2.1,Completed,11.21,0.393,31.13,Wet
2026-02-09,A,MOIL-BAL,F01,441.6,327.9,39.15,1105.7,18.5,7.77,None,0.676,0.0,Completed,27.91,0.509,30.83,Very Poor
2026-02-10,C,MOIL-BAL,F04,431.6,367.3,41.29,948.2,16.7,4.46,None,0.814,2.16,Completed,13.58,0.338,27.84,Wet
2026-02-11,B,MOIL-BAL,F01,431.6,355.0,36.86,1054.2,15.6,5.13,Hydraulic Issue,0.786,1.24,Completed,23.95,0.541,24.81,Poor
2026-02-12,C,MOIL-BAL,F03,462.4,401.0,38.78,1075.8,19.5,2.85,Engine Failure,0.881,4.59,Completed,17.64,0.383,22.61,Poor
2026-02-13,A,MOIL-BAL,F01,507.2,484.9,38.13,1186.0,19.4,3.78,None,0.843,3.7,Completed,1.52,0.309,34.29,Good
2026-02-14,B,MOIL-BAL,F04,466.8,409.2,38.32,1188.2,13.4,1.75,None,0.927,8.12,Delayed,1.69,0.241,25.9,Good
2026-02-15,A,MOIL-BAL,F04,386.8,301.7,37.98,1119.3,20.9,5.78,Maintenance,0.759,7.33,Delayed,9.4,0.379,24.93,Wet
2026-02-16,C,MOIL-BAL,F02,442.5,416.5,38.34,1151.1,19.5,1.28,Maintenance,0.947,4.42,Completed,8.25,0.358,29.21,Wet
2026-02-17,A,MOIL-BAL,F04,516.8,431.2,33.99,1171.9,14.1,3.82,Hydraulic Issue,0.841,9.02,Delayed,0.65,0.26,26.62,Good
2026-02-18,A,MOIL-BAL,F03,485.5,404.4,35.19,1041.4,14.4,5.54,None,0.769,10.8,Delayed,5.49,0.32,30.81,Good
2026-02-19,B,MOIL-BAL,F04,431.4,448.2,36.57,1075.1,16.5,0.0,None,0.99,2.35,Completed,0.59,0.256,23.13,Good
2026-02-20,C,MOIL-BAL,F03,491.9,445.3,34.38,1056.7,20.3,6.08,None,0.747,0.0,Completed,1.85,0.303,24.58,Good
2026-02-21,C,MOIL-BAL,F02,445.3,376.4,42.85,1137.8,14.6,3.93,Engine Failure,0.836,0.0,Completed,9.13,0.32,27.32,Wet
2026-02-22,C,MOIL-BAL,F02,411.4,329.3,38.76,1152.5,23.2,6.14,Tyre Failure,0.744,1.25,Completed,7.55,0.33,23.85,Wet
2026-02-23,A,MOIL-BAL,F03,368.2,320.5,37.91,1114.6,19.6,2.29,None,0.905,7.64,Delayed,5.23,0.217,25.05,Good
2026-02-24,B,MOIL-BAL,F03,448.9,400.7,40.59,1108.8,15.1,4.01,Engine Failure,0.833,0.0,Completed,6.25,0.334,24.91,Good
2026-02-25,C,MOIL-BAL,F03,425.6,383.1,36.2,1104.6,19.3,0.47,None,0.98,5.15,Completed,4.24,0.24,28.02,Good
2026-02-26,A,MOIL-BAL,F04,461.6,422.5,33.44,1104.0,16.9,1.68,None,0.93,5.82,Completed,3.63,0.312,32.72,Good
2026-02-27,C,MOIL-BAL,F04,434.7,369.4,38.42,1137.9,19.8,1.08,Tyre Failure,0.955,4.78,Completed,16.9,0.378,25.13,Poor
2026-02-28,A,MOIL-BAL,F03,416.4,361.8,37.56,1142.8,15.5,3.09,None,0.871,7.93,Delayed,4.32,0.309,27.05,Good
2026-03-01,A,MOIL-BAL,F04,478.0,436.5,38.79,1126.2,15.1,2.44,Maintenance,0.898,0.7,Completed,0.28,0.282,26.29,Good
2026-03-02,C,MOIL-BAL,F04,413.2,369.0,42.88,1086.4,15.5,3.88,Maintenance,0.838,0.0,Completed,8.42,0.331,31.71,Wet
2026-03-03,B,MOIL-BAL,F03,449.8,366.5,35.07,1075.7,15.4,1.08,None,0.955,10.86,Delayed,7.04,0.275,21.52,Wet
2026-03-04,C,MOIL-BAL,F03,417.4,338.4,40.97,1024.8,13.9,3.91,None,0.837,7.93,Delayed,5.86,0.31,31.01,Good
2026-03-05,C,MOIL-BAL,F02,485.4,352.7,33.98,1025.5,17.2,9.67,None,0.597,8.19,Delayed,5.63,0.233,21.92,Good
2026-03-06,A,MOIL-BAL,F02,420.5,363.0,39.71,1096.3,16.4,4.96,Hydraulic Issue,0.793,0.0,Completed,8.76,0.319,19.29,Wet
2026-03-07,A,MOIL-BAL,F02,418.8,378.5,36.76,1083.1,17.9,2.95,Engine Failure,0.877,5.23,Completed,0.84,0.274,29.49,Good
2026-03-08,C,MOIL-BAL,F04,454.7,444.7,38.12,1007.3,18.9,0.0,None,0.99,1.66,Completed,10.57,0.382,28.84,Wet
2026-03-09,C,MOIL-BAL,F01,472.2,346.7,40.05,1082.4,17.3,8.96,None,0.627,7.33,Delayed,2.07,0.3,30.54,Good
2026-03-10,C,MOIL-BAL,F02,423.0,394.6,38.54,1060.0,20.4,1.5,None,0.938,3.87,Completed,0.6,0.243,26.58,Good
2026-03-11,A,MOIL-BAL,F01,487.0,404.4,43.73,1047.6,19.1,5.03,Maintenance,0.79,3.71,Completed,6.1,0.314,24.2,Good
2026-03-12,C,MOIL-BAL,F02,408.2,371.8,33.94,1152.3,21.5,2.68,Maintenance,0.888,3.61,Completed,0.37,0.269,26.43,Good
2026-03-13,C,MOIL-BAL,F02,460.0,433.9,37.57,996.8,21.5,2.03,Maintenance,0.915,0.74,Completed,7.07,0.323,22.87,Wet
2026-03-14,C,MOIL-BAL,F04,459.9,408.5,38.67,1121.7,15.2,3.79,Maintenance,0.842,0.0,Completed,1.89,0.269,27.69,Good
2026-03-15,A,MOIL-BAL,F04,442.7,417.4,40.77,1106.7,16.2,1.18,None,0.951,4.57,Completed,5.18,0.268,28.74,Good
2026-03-16,C,MOIL-BAL,F02,415.3,347.8,36.63,1062.9,19.9,4.97,None,0.793,0.0,Completed,5.41,0.327,27.98,Good
2026-03-17,A,MOIL-BAL,F03,412.7,381.5,41.67,1041.3,17.8,3.09,Maintenance,0.871,8.15,Delayed,4.49,0.29,29.21,Good
2026-03-18,C,MOIL-BAL,F03,502.6,448.3,38.96,1010.7,15.8,2.77,Maintenance,0.884,7.82,Delayed,0.49,0.198,31.67,Good
2026-03-19,B,MOIL-BAL,F03,432.7,360.8,40.73,1015.3,22.2,4.3,Maintenance,0.821,0.0,Completed,0.12,0.248,27.27,Good
2026-03-20,B,MOIL-BAL,F01,401.3,349.3,39.15,1031.1,20.1,5.45,None,0.773,0.0,Completed,1.36,0.256,25.04,Good
2026-03-21,A,MOIL-BAL,F03,459.8,412.6,39.47,995.8,14.5,4.22,Maintenance,0.824,0.0,Completed,2.27,0.312,29.0,Good
2026-03-22,C,MOIL-BAL,F03,483.8,413.4,38.27,1021.3,12.7,2.68,Tyre Failure,0.888,8.14,Delayed,9.68,0.34,26.84,Wet
2026-03-23,B,MOIL-BAL,F03,412.6,364.9,37.88,979.5,17.9,1.86,None,0.922,1.79,Completed,17.6,0.449,29.6,Poor
2026-03-24,B,MOIL-BAL,F03,456.4,413.9,38.83,953.9,20.3,1.51,None,0.937,0.0,Completed,1.35,0.281,29.15,Good
2026-03-25,A,MOIL-BAL,F03,466.7,441.2,37.3,1051.2,17.9,1.73,Maintenance,0.928,2.65,Completed,2.86,0.268,29.22,Good
2026-03-26,B,MOIL-BAL,F01,430.7,403.3,38.2,1028.8,15.9,0.84,None,0.965,6.73,Delayed,5.33,0.227,27.42,Good
2026-03-27,C,MOIL-BAL,F03,486.3,493.1,40.04,995.0,18.8,0.88,Hydraulic Issue,0.963,1.93,Completed,0.15,0.294,28.74,Good
2026-03-28,B,MOIL-BAL,F03,438.5,373.6,36.24,1040.5,17.8,3.66,Maintenance,0.848,6.93,Delayed,0.56,0.261,26.98,Good
2026-03-29,A,MOIL-BAL,F03,459.9,429.9,36.81,949.7,18.3,3.16,None,0.868,0.0,Completed,3.73,0.282,29.4,Good
2026-03-30,B,MOIL-BAL,F04,483.8,434.4,39.17,1075.2,13.4,2.53,None,0.895,0.0,Completed,11.98,0.37,23.42,Wet
2026-03-31,C,MOIL-BAL,F04,500.3,422.5,37.29,1017.3,14.6,4.31,None,0.82,5.54,Completed,11.01,0.316,28.75,Wet
2026-04-01,B,MOIL-BAL,F02,487.4,434.7,38.54,1033.5,17.3,2.65,None,0.89,4.68,Completed,5.86,0.336,23.75,Good
2026-04-02,C,MOIL-BAL,F02,459.6,412.2,37.9,994.6,13.4,2.05,Engine Failure,0.915,3.54,Completed,2.41,0.287,32.05,Good
2026-04-03,A,MOIL-BAL,F01,425.6,350.5,37.41,1145.7,23.8,3.44,None,0.857,5.31,Completed,11.93,0.379,24.92,Wet
2026-04-04,B,MOIL-BAL,F03,406.2,410.4,39.38,992.9,13.9,0.44,None,0.982,3.07,Completed,4.06,0.288,29.94,Good
2026-04-05,B,MOIL-BAL,F02,381.6,366.5,36.95,1125.9,17.6,1.39,Engine Failure,0.942,0.0,Completed,6.96,0.314,29.66,Good
2026-04-06,B,MOIL-BAL,F04,449.2,435.4,37.92,944.4,16.4,1.48,Maintenance,0.938,4.85,Completed,1.75,0.243,24.88,Good
2026-04-07,B,MOIL-BAL,F03,447.8,383.3,40.63,990.9,15.4,2.74,None,0.886,13.11,Delayed,7.41,0.351,27.94,Wet
2026-04-08,A,MOIL-BAL,F01,510.5,456.9,34.71,1044.0,18.9,2.25,None,0.906,2.75,Completed,6.0,0.296,30.28,Good
2026-04-09,A,MOIL-BAL,F02,472.2,445.7,34.98,952.0,18.9,1.14,Tyre Failure,0.953,0.18,Completed,7.28,0.299,27.23,Wet
2026-04-10,C,MOIL-BAL,F03,464.6,411.9,38.97,996.0,16.6,4.91,None,0.795,0.0,Completed,2.17,0.314,30.25,Good
2026-04-11,A,MOIL-BAL,F02,410.2,356.8,38.55,940.4,18.3,4.04,Maintenance,0.832,0.0,Completed,2.81,0.331,25.2,Good
2026-04-12,A,MOIL-BAL,F03,534.9,486.9,40.54,968.0,19.5,0.22,Hydraulic Issue,0.99,9.63,Delayed,10.84,0.365,31.03,Wet
2026-04-13,C,MOIL-BAL,F01,438.1,401.0,41.54,1006.0,23.5,3.43,Hydraulic Issue,0.857,3.8,Completed,1.04,0.269,27.43,Good
2026-04-14,B,MOIL-BAL,F01,457.6,410.2,37.69,957.1,17.9,2.64,Maintenance,0.89,5.67,Completed,1.5,0.273,31.07,Good
2026-04-15,A,MOIL-BAL,F01,493.9,494.0,36.95,956.0,20.6,3.11,Maintenance,0.87,1.92,Completed,1.18,0.293,28.87,Good
2026-04-16,C,MOIL-BAL,F04,508.2,401.1,37.07,915.4,21.5,4.88,None,0.797,11.13,Delayed,4.07,0.266,28.49,Good
2026-04-17,B,MOIL-BAL,F02,441.3,352.1,40.28,956.1,17.8,7.37,None,0.693,4.66,Completed,5.94,0.309,25.22,Good
2026-04-18,C,MOIL-BAL,F03,482.7,437.9,36.93,1015.1,17.2,0.01,Maintenance,0.99,11.84,Delayed,11.19,0.378,28.91,Wet
2026-04-19,C,MOIL-BAL,F01,482.4,406.2,39.05,1035.2,17.0,3.88,None,0.838,1.57,Completed,4.43,0.262,29.93,Good
2026-04-20,C,MOIL-BAL,F01,387.3,367.0,39.31,966.4,13.5,0.0,Engine Failure,0.99,6.57,Delayed,0.36,0.287,32.87,Good
2026-04-21,A,MOIL-BAL,F04,454.0,410.1,41.59,947.7,12.5,3.24,None,0.865,0.76,Completed,0.42,0.293,25.32,Good
2026-04-22,B,MOIL-BAL,F01,505.3,470.0,32.03,884.3,18.6,0.56,None,0.977,7.58,Delayed,16.69,0.383,29.98,Poor
2026-04-23,C,MOIL-BAL,F02,529.6,458.0,35.74,1051.9,19.2,4.35,None,0.819,11.4,Delayed,4.36,0.355,23.66,Good
2026-04-24,A,MOIL-BAL,F04,441.3,300.6,36.27,967.4,18.3,7.05,None,0.706,16.39,Delayed,20.32,0.512,26.65,Poor
2026-04-25,C,MOIL-BAL,F01,439.0,450.6,31.16,964.6,18.4,0.0,Maintenance,0.99,0.0,Completed,3.23,0.266,30.83,Good
2026-04-26,B,MOIL-BAL,F03,457.1,390.5,33.49,1039.1,18.6,3.74,None,0.844,0.0,Completed,7.85,0.282,27.87,Wet
2026-04-27,A,MOIL-BAL,F03,422.4,241.4,36.88,977.0,17.0,10.33,None,0.57,13.71,Delayed,22.08,0.461,28.73,Poor
2026-04-28,C,MOIL-BAL,F02,457.9,448.6,39.13,937.9,18.8,0.0,None,0.99,0.0,Completed,1.23,0.235,26.48,Good
2026-04-29,A,MOIL-BAL,F02,476.5,457.7,37.52,1037.1,22.6,1.82,None,0.924,4.46,Completed,4.53,0.281,23.55,Good
2026-04-30,B,MOIL-BAL,F03,430.0,404.4,35.46,947.2,21.8,1.06,None,0.956,7.24,Delayed,6.13,0.322,24.16,Good
2026-05-01,C,MOIL-BAL,F03,434.8,380.7,38.09,932.8,12.9,3.24,Maintenance,0.865,1.96,Completed,4.41,0.283,29.12,Good
2026-05-02,A,MOIL-BAL,F02,440.3,418.6,44.28,920.4,19.1,3.66,None,0.847,0.0,Completed,1.46,0.271,32.66,Good
2026-05-03,A,MOIL-BAL,F02,465.0,409.4,35.75,862.2,23.1,1.98,None,0.917,8.32,Delayed,8.89,0.334,30.5,Wet
2026-05-04,C,MOIL-BAL,F02,443.3,410.5,42.14,893.5,19.4,4.64,Hydraulic Issue,0.807,0.0,Completed,0.69,0.204,25.17,Good
2026-05-05,A,MOIL-BAL,F03,447.8,414.7,34.4,1051.7,19.7,2.12,Maintenance,0.912,5.41,Completed,4.09,0.243,29.9,Good
2026-05-06,B,MOIL-BAL,F04,444.6,349.0,33.96,1030.0,17.2,3.86,None,0.839,8.66,Delayed,11.91,0.336,21.48,Wet
2026-05-07,A,MOIL-BAL,F01,449.3,432.7,35.25,956.5,22.7,3.06,None,0.872,0.0,Completed,18.24,0.39,26.62,Poor
2026-05-08,B,MOIL-BAL,F02,517.1,496.2,38.07,915.9,12.3,0.89,None,0.963,3.26,Completed,2.39,0.311,23.92,Good
2026-05-09,B,MOIL-BAL,F04,506.5,450.1,37.66,889.0,21.6,4.17,None,0.826,4.55,Completed,1.25,0.257,23.81,Good
2026-05-10,C,MOIL-BAL,F01,497.4,441.8,35.85,995.8,16.6,1.82,None,0.924,0.87,Completed,10.16,0.362,27.95,Wet
2026-05-11,B,MOIL-BAL,F03,421.8,368.3,37.82,902.2,16.6,5.98,None,0.751,0.0,Completed,1.63,0.265,26.99,Good
2026-05-12,A,MOIL-BAL,F04,508.4,426.8,41.44,993.9,13.7,7.29,None,0.696,0.0,Completed,7.57,0.334,29.02,Wet
2026-05-13,B,MOIL-BAL,F04,447.5,369.4,38.2,915.6,20.6,4.33,None,0.82,0.0,Completed,7.97,0.27,31.31,Wet
2026-05-14,A,MOIL-BAL,F02,424.4,330.6,36.83,1030.9,17.9,3.01,None,0.875,4.7,Completed,16.38,0.381,26.69,Poor
2026-05-15,C,MOIL-BAL,F02,499.1,459.1,40.84,931.4,21.9,2.47,None,0.897,0.0,Completed,2.43,0.192,25.35,Good
2026-05-16,C,MOIL-BAL,F03,441.3,405.8,38.22,900.5,17.4,2.63,Maintenance,0.891,5.92,Completed,4.09,0.288,27.83,Good
2026-05-17,B,MOIL-BAL,F01,414.2,338.8,37.46,920.6,19.2,4.03,None,0.832,7.43,Delayed,1.91,0.298,31.15,Good
2026-05-18,A,MOIL-BAL,F01,455.7,429.1,30.54,895.0,11.1,0.42,None,0.983,5.87,Completed,10.49,0.318,31.24,Wet
2026-05-19,C,MOIL-BAL,F04,421.6,342.8,34.95,983.3,14.3,4.47,Maintenance,0.814,7.01,Delayed,1.98,0.292,33.1,Good
2026-05-20,C,MOIL-BAL,F03,423.7,346.3,39.16,874.2,16.4,2.86,None,0.881,9.05,Delayed,0.18,0.234,30.9,Good
2026-05-21,C,MOIL-BAL,F01,405.8,353.9,41.02,982.2,22.9,3.26,None,0.864,0.0,Completed,9.7,0.355,29.53,Wet
2026-05-22,A,MOIL-BAL,F01,472.3,376.6,37.76,1020.9,18.2,6.3,None,0.738,3.14,Completed,9.12,0.355,31.51,Wet
2026-05-23,C,MOIL-BAL,F03,511.3,412.8,38.15,1026.9,20.0,3.91,None,0.837,10.28,Delayed,7.82,0.325,27.67,Wet
2026-05-24,A,MOIL-BAL,F01,482.1,451.7,35.52,924.6,20.7,0.0,None,0.99,0.42,Completed,13.99,0.403,18.24,Wet
2026-05-25,A,MOIL-BAL,F04,393.5,374.4,41.58,950.1,22.6,0.15,Maintenance,0.99,1.69,Completed,2.9,0.288,25.21,Good
2026-05-26,B,MOIL-BAL,F02,454.2,381.8,37.19,893.0,19.0,3.65,Maintenance,0.848,3.35,Completed,7.01,0.293,30.13,Wet
2026-05-27,B,MOIL-BAL,F03,440.6,405.4,35.84,955.3,15.6,4.69,Maintenance,0.805,0.0,Completed,1.81,0.272,25.11,Good
2026-05-28,B,MOIL-BAL,F01,467.5,353.3,42.56,865.2,12.0,5.99,Maintenance,0.751,7.74,Delayed,18.43,0.418,33.99,Poor
2026-05-29,A,MOIL-BAL,F03,475.8,418.7,34.66,928.2,17.7,4.57,None,0.81,0.0,Completed,0.92,0.29,28.61,Good
2026-05-30,C,MOIL-BAL,F01,398.8,345.5,37.38,920.4,16.0,2.15,Hydraulic Issue,0.91,6.8,Delayed,10.93,0.409,27.87,Wet
2026-05-31,C,MOIL-BAL,F04,511.3,487.9,36.72,879.0,12.2,1.24,Tyre Failure,0.948,8.77,Delayed,0.12,0.215,31.36,Good
2026-06-01,B,MOIL-BAL,F03,445.2,400.9,35.4,867.5,12.3,4.93,None,0.795,1.09,Completed,1.41,0.212,27.27,Good
2026-06-02,B,MOIL-BAL,F02,472.1,406.3,43.2,909.1,19.0,6.18,Hydraulic Issue,0.743,0.0,Completed,8.79,0.304,30.67,Wet
2026-06-03,A,MOIL-BAL,F02,493.1,447.8,40.59,962.2,15.8,3.33,None,0.861,2.64,Completed,3.81,0.374,27.97,Good
2026-06-04,A,MOIL-BAL,F04,426.5,391.4,36.12,939.1,18.4,2.38,Tyre Failure,0.901,7.47,Delayed,0.35,0.208,27.52,Good
2026-06-05,C,MOIL-BAL,F01,460.0,375.8,34.58,912.5,20.2,6.04,Engine Failure,0.748,7.61,Delayed,4.88,0.289,31.16,Good
2026-06-06,C,MOIL-BAL,F03,408.3,311.3,37.94,880.2,20.0,3.54,None,0.853,11.71,Delayed,5.11,0.322,26.71,Good
2026-06-07,C,MOIL-BAL,F02,476.0,386.9,40.08,880.5,13.3,7.03,None,0.707,1.63,Completed,6.8,0.267,31.38,Good
2026-06-08,B,MOIL-BAL,F02,432.6,391.7,41.59,854.8,19.9,2.31,Maintenance,0.904,1.91,Completed,3.5,0.315,37.75,Good
2026-06-09,C,MOIL-BAL,F01,416.3,356.6,40.72,880.0,16.7,5.81,None,0.758,0.0,Completed,2.22,0.295,28.45,Good
2026-06-10,C,MOIL-BAL,F04,473.4,445.7,36.63,897.6,16.2,3.45,Maintenance,0.856,0.99,Completed,9.93,0.381,24.07,Wet
2026-06-11,A,MOIL-BAL,F03,448.0,399.0,39.68,835.8,21.9,2.49,Hydraulic Issue,0.896,4.78,Completed,2.83,0.218,27.52,Good
2026-06-12,A,MOIL-BAL,F04,458.3,437.1,36.09,846.8,17.9,0.46,None,0.981,0.0,Completed,4.27,0.27,28.65,Good
2026-06-13,A,MOIL-BAL,F01,518.6,463.8,37.26,822.9,21.1,2.9,None,0.879,8.01,Delayed,7.58,0.297,29.72,Wet
2026-06-14,A,MOIL-BAL,F04,510.3,447.5,39.24,901.3,18.2,4.14,Maintenance,0.828,4.6,Completed,4.66,0.294,24.41,Good
2026-06-15,C,MOIL-BAL,F02,368.8,318.4,39.59,877.4,18.4,4.45,Maintenance,0.815,0.0,Completed,5.0,0.273,26.19,Good
2026-06-16,C,MOIL-BAL,F02,438.7,380.7,35.4,895.6,21.7,3.81,Hydraulic Issue,0.841,0.0,Completed,27.71,0.511,23.22,Very Poor
2026-06-17,A,MOIL-BAL,F01,446.9,414.0,36.87,903.9,21.5,1.76,None,0.927,3.82,Completed,1.74,0.299,26.2,Good
2026-06-18,B,MOIL-BAL,F01,447.6,406.6,42.31,846.0,14.3,0.0,Maintenance,0.99,4.14,Completed,10.3,0.327,21.08,Wet
2026-06-19,C,MOIL-BAL,F03,475.7,398.4,33.94,825.6,23.9,3.61,None,0.849,12.25,Delayed,2.53,0.26,20.92,Good
2026-06-20,B,MOIL-BAL,F03,419.7,349.1,43.73,808.8,20.1,6.98,Maintenance,0.709,1.61,Completed,6.51,0.353,26.08,Good
2026-06-21,B,MOIL-BAL,F04,396.0,331.0,37.87,815.9,21.1,0.85,Maintenance,0.964,11.23,Delayed,4.37,0.329,26.45,Good
2026-06-22,B,MOIL-BAL,F02,439.2,414.7,37.68,866.0,16.7,2.34,None,0.902,0.49,Completed,3.51,0.287,28.03,Good
2026-06-23,C,MOIL-BAL,F03,465.0,427.4,39.04,760.0,20.0,4.85,None,0.798,0.0,Completed,1.51,0.224,25.43,Good
2026-06-24,A,MOIL-BAL,F04,519.8,489.0,35.18,796.9,15.5,2.88,Engine Failure,0.88,3.7,Completed,8.8,0.326,30.08,Wet
2026-06-25,C,MOIL-BAL,F04,445.9,395.1,37.44,822.0,17.6,1.46,None,0.939,0.0,Completed,4.1,0.282,25.78,Good
2026-06-26,B,MOIL-BAL,F02,460.0,352.4,39.5,851.7,14.3,3.92,None,0.837,4.8,Completed,25.7,0.489,24.98,Very Poor
