cell_id,latitude,longitude,geology_class,lithology,host_rock,metallogenesis,morphogenesis,fault_distance_km,lineament_distance_km,contact_distance_km,elevation_m,slope_deg,aspect_deg,ndvi,bsi,swir1,swir2,mn_occurrence,synthetic_demo
GRID_0011,21.117497,79.247059,Sausar Group,Marble,Marble,Stratiform/Stratabound,Metamorphic Terrain,9.144,0.297,1.028,458.53,11.34,102.97,0.5909,0.2741,0.28,0.1276,1,1
GRID_0012,21.924423,79.287714,Granite,Granite,Granite,Other,Mixed Terrain,1.069,3.636,1.9,381.87,3.67,126.21,0.2091,0.0175,0.2882,0.1744,0,1
GRID_0013,21.807576,80.469012,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,0.859,2.027,1.179,250.0,5.69,7.42,0.5773,0.3503,0.2286,0.1338,0,1
GRID_0014,21.280488,79.394944,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,3.874,1.76,1.682,288.26,7.0,14.78,0.6578,0.1968,0.2137,0.1472,1,1
GRID_0015,21.254551,79.945389,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,2.324,2.445,0.337,268.66,9.6,245.05,0.5083,0.5037,0.2079,0.2261,0,1
GRID_0016,21.255894,79.775534,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,1.062,1.948,1.032,451.58,6.42,245.45,0.02,0.216,0.2839,0.2207,1,1
GRID_0017,21.358606,79.686281,Other Metasedimentary,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,0.646,0.229,3.82,427.56,10.31,118.88,0.6093,0.1772,0.2301,0.159,1,1
GRID_0018,21.546043,80.459767,Other Metasedimentary,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,1.819,3.686,0.57,480.55,5.01,318.77,0.3602,0.108,0.2634,0.2482,1,1
GRID_0019,21.467153,79.230553,Sausar Group,Marble,Marble,Stratiform/Stratabound,Metamorphic Terrain,7.671,0.205,1.379,372.27,11.96,95.8,0.4208,0.1807,0.1878,0.2144,1,1
GRID_0020,21.347545,80.129306,Sausar Group,Marble,Marble,Stratiform/Stratabound,Metamorphic Terrain,0.493,2.766,1.444,250.0,11.03,142.48,0.3111,0.3776,0.2451,0.187,1,1
GRID_0021,21.620075,80.548752,Granite,Granite,Granite,Other,Mixed Terrain,2.565,1.067,0.486,540.66,5.71,263.3,0.6991,0.2896,0.1629,0.2345,0,1
GRID_0022,21.21857,79.984235,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,1.934,0.703,0.306,514.15,10.88,267.68,0.4584,0.2213,0.1991,0.2651,1,1
GRID_0023,21.348323,80.511551,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,1.621,5.17,1.091,461.78,3.63,310.02,0.365,0.2998,0.2433,0.2064,1,1
GRID_0024,21.411408,79.273161,Other Metasedimentary,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,5.307,2.137,1.084,524.42,8.65,10.46,0.6443,0.1181,0.188,0.1964,0,1
GRID_0025,21.487659,79.786311,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,5.547,2.739,0.842,421.36,4.84,66.15,0.5707,0.1073,0.2122,0.0648,1,1
GRID_0026,21.7674,79.564221,Other Metasedimentary,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,1.587,1.34,5.812,452.54,9.25,230.61,0.2488,0.0922,0.2932,0.1957,1,1
GRID_0027,21.269723,80.223149,Granite,Granite,Granite,Other,Mixed Terrain,2.843,3.213,0.438,370.19,7.32,121.75,0.4834,0.3183,0.2192,0.2079,0,1
GRID_0028,21.537099,80.573816,Sausar Group,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,5.313,0.946,0.994,338.99,4.96,15.68,0.4652,0.3323,0.2145,0.1989,0,1
GRID_0029,21.603552,79.559142,Alluvium,Alluvium,Alluvium,Other,Mixed Terrain,3.533,2.924,3.12,295.98,1.71,211.13,0.1945,0.0682,0.1778,0.1259,1,1
GRID_0030,21.139483,80.115844,Granite,Granite,Granite,Other,Mixed Terrain,1.733,2.331,0.255,366.02,7.14,141.51,0.5623,0.0855,0.2035,0.1388,0,1
GRID_0031,21.616413,79.477337,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,10.0,2.042,1.328,656.27,12.77,131.07,0.4254,0.161,0.2396,0.2233,0,1
GRID_0032,21.244946,79.991462,Sausar Group,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,6.707,1.157,0.723,300.78,9.14,95.17,0.7742,0.0368,0.2843,0.1567,1,1
GRID_0033,21.155294,79.849505,Sausar Group,Marble,Marble,Stratiform/Stratabound,Metamorphic Terrain,0.915,2.208,1.126,350.3,1.74,2.16,0.6556,0.213,0.1325,0.1907,1,1
GRID_0034,21.906553,80.560807,Other Metasedimentary,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,3.706,1.605,1.838,439.61,7.07,65.65,0.4655,0.381,0.2963,0.0538,0,1
GRID_0035,21.920787,80.051938,Sausar Group,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,0.453,1.274,0.161,633.78,12.75,170.72,0.416,0.2315,0.2133,0.1791,1,1
GRID_0036,21.787138,79.689309,Other Metasedimentary,Phyllite,Phyllite,Stratiform/Stratabound,Metamorphic Terrain,1.36,2.892,2.23,340.78,6.76,99.27,0.1028,0.3238,0.2334,0.2284,0,1
GRID_0037,21.358922,79.359734,Other Metasedimentary,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,1.086,0.925,1.438,376.57,4.11,314.78,0.5648,-0.0049,0.2893,0.1981,1,1
GRID_0038,21.183021,79.411746,Alluvium,Alluvium,Alluvium,Other,Mixed Terrain,5.744,0.333,0.531,487.08,14.99,51.48,0.4191,0.1095,0.3957,0.1716,0,1
GRID_0039,21.681598,79.515444,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,4.913,0.513,0.631,482.27,3.68,315.12,0.3552,-0.0855,0.2781,0.117,1,1
GRID_0040,21.47413,79.551353,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,1.846,3.417,0.192,370.97,7.09,145.74,0.4334,0.1713,0.2056,0.0724,0,1
GRID_0041,21.203732,80.390862,Other Metasedimentary,Phyllite,Phyllite,Stratiform/Stratabound,Metamorphic Terrain,1.18,1.81,1.143,359.11,5.54,99.3,0.6785,0.4855,0.253,0.1331,0,1
GRID_0042,21.5209,79.985712,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,1.238,2.303,1.11,468.07,10.61,109.55,0.6483,0.4279,0.2695,0.2424,1,1
GRID_0043,21.12923,79.932747,Granite,Granite,Granite,Other,Mixed Terrain,0.571,1.428,0.827,404.18,9.93,118.83,0.6479,0.2341,0.1418,0.1767,0,1
GRID_0044,21.872922,79.360676,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,1.808,1.639,0.683,454.44,4.42,182.36,0.2639,0.1913,0.1641,0.2214,0,1
GRID_0045,21.319963,80.404196,Granite,Granite,Granite,Other,Mixed Terrain,3.303,3.372,3.816,415.61,5.2,127.4,0.6827,0.2473,0.2682,0.2661,0,1
GRID_0046,21.663144,80.21194,Granite,Granite,Granite,Other,Mixed Terrain,1.164,4.187,1.811,459.86,8.56,232.99,0.3516,0.015,0.277,0.1875,0,1
GRID_0047,21.364954,79.294736,Sausar Group,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,4.457,2.654,0.578,468.66,8.87,153.06,0.5494,0.2142,0.2665,0.2307,1,1
GRID_0048,21.542058,80.190969,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,2.754,2.434,0.889,264.44,7.08,241.79,0.5304,-0.1202,0.2856,0.2481,0,1
GRID_0049,21.564704,79.960954,Other Metasedimentary,Phyllite,Phyllite,Stratiform/Stratabound,Metamorphic Terrain,2.477,0.755,0.805,390.64,6.77,217.59,0.4074,-0.1779,0.2141,0.096,1,1
GRID_0050,21.257126,79.314415,Sausar Group,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,1.564,2.432,0.614,458.36,3.09,88.0,0.4643,0.1315,0.3156,0.1343,0,1
GRID_0051,21.924147,79.841621,Other Metasedimentary,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,5.028,1.164,1.404,498.9,15.4,292.6,0.1671,0.5123,0.3675,0.079,0,1
GRID_0052,21.758863,79.878575,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,2.629,3.11,1.645,401.78,10.55,287.63,0.4394,0.4133,0.1949,0.0708,0,1
GRID_0053,21.898574,79.432084,Other Metasedimentary,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,2.28,1.889,0.905,273.21,8.02,356.03,0.3923,0.3403,0.1519,0.1501,1,1
GRID_0054,21.860603,80.523977,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,2.03,0.166,0.247,536.17,11.9,63.02,0.7814,0.1824,0.2349,0.1647,0,1
GRID_0055,21.608215,80.389966,Alluvium,Alluvium,Alluvium,Other,Mixed Terrain,1.096,4.948,2.22,502.73,7.18,305.22,0.4346,0.3983,0.3015,0.0677,0,1
GRID_0056,21.883593,80.136631,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,3.497,2.758,0.197,438.96,4.74,313.91,0.3157,0.1083,0.2863,0.2073,1,1
GRID_0057,21.175219,79.847214,Other Metasedimentary,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,3.153,5.804,0.826,390.52,9.38,231.18,0.4484,0.0143,0.25,0.1508,1,1
GRID_0058,21.266585,79.776472,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,1.47,1.954,1.082,481.03,8.56,182.3,0.3225,0.1001,0.0782,0.2661,1,1
GRID_0059,21.138443,80.111363,Other Metasedimentary,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,3.238,1.616,0.44,391.33,14.73,344.61,0.203,-0.0449,0.1915,0.191,0,1
GRID_0060,21.376531,79.963605,Other Metasedimentary,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,3.755,0.759,0.359,504.46,5.05,350.17,0.4959,0.4973,0.3173,0.1906,1,1
GRID_0061,21.430376,79.287182,Sausar Group,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,1.433,0.893,0.82,582.72,4.15,231.01,0.4312,0.256,0.1178,0.1677,1,1
GRID_0062,21.330647,79.917504,Sausar Group,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,3.0,2.804,2.387,388.55,16.4,129.44,0.5889,0.0581,0.2414,0.1728,0,1
GRID_0063,21.804427,80.328965,Alluvium,Alluvium,Alluvium,Other,Mixed Terrain,1.653,2.316,1.647,496.34,12.74,294.18,0.663,0.1689,0.1999,0.2022,0,1
GRID_0064,21.40324,79.842936,Sausar Group,Marble,Marble,Stratiform/Stratabound,Metamorphic Terrain,1.649,1.306,3.48,374.31,10.55,32.13,0.7323,0.1646,0.2858,0.2343,1,1
GRID_0065,21.338794,79.272739,Other Metasedimentary,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,2.607,1.687,1.36,517.33,5.27,104.61,0.4668,0.3809,0.1233,0.1,1,1
GRID_0066,21.561292,80.300789,Sausar Group,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,1.347,1.376,3.965,409.05,9.67,354.8,0.5406,0.4934,0.2189,0.1298,1,1
GRID_0067,21.219786,79.481909,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,2.411,2.007,2.975,553.07,2.84,293.16,0.475,0.3319,0.251,0.1976,1,1
GRID_0068,21.781867,79.562069,Other Metasedimentary,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,3.256,0.875,1.222,406.4,5.95,338.25,0.0589,0.2839,0.2154,0.1777,1,1
GRID_0069,21.163368,79.430589,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,0.563,2.448,2.465,353.69,3.35,214.13,0.6278,0.2247,0.2822,0.2275,0,1
GRID_0070,21.938854,79.662301,Other Metasedimentary,Phyllite,Phyllite,Stratiform/Stratabound,Metamorphic Terrain,3.808,0.468,4.275,401.58,4.99,146.76,0.5173,0.1962,0.1321,0.1397,0,1
GRID_0071,21.756408,80.259452,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,5.399,1.309,2.05,411.04,3.23,352.69,0.5195,0.1929,0.1615,0.2558,1,1
GRID_0072,21.268908,79.92714,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,3.18,1.047,0.497,450.09,10.78,111.39,0.348,0.1959,0.2171,0.149,1,1
GRID_0073,21.104694,79.486834,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,4.098,3.041,0.666,402.05,15.15,272.67,0.3271,0.1523,0.2636,0.161,0,1
GRID_0074,21.793142,80.428962,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,0.412,2.465,2.517,450.87,11.91,200.95,0.4191,0.1172,0.2759,0.2457,1,1
GRID_0075,21.700829,80.431415,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,8.833,1.598,0.352,452.37,11.0,82.26,0.5193,0.0316,0.2521,0.2143,0,1
GRID_0076,21.719656,80.41881,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,5.074,1.773,2.436,393.67,6.66,6.29,0.1176,0.1471,0.1756,0.2989,0,1
GRID_0077,21.75558,79.534315,Granite,Granite,Granite,Other,Mixed Terrain,2.702,3.356,1.899,457.91,8.77,138.16,0.4624,-0.0036,0.1982,0.2369,0,1
GRID_0078,21.162938,79.831735,Sausar Group,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,4.917,4.228,0.751,380.17,3.71,197.17,0.7002,0.1011,0.3174,0.2574,0,1
GRID_0079,21.404696,80.578986,Alluvium,Alluvium,Alluvium,Other,Mixed Terrain,0.851,6.59,3.161,599.98,2.8,65.95,0.409,0.1646,0.3815,0.1622,0,1
GRID_0080,21.198489,80.280817,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,1.727,0.878,0.123,455.43,2.19,149.24,0.1133,0.2164,0.2826,0.2582,0,1
GRID_0081,21.833638,79.238034,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,1.789,1.349,2.847,482.05,3.12,221.47,0.3998,0.214,0.2641,0.1841,0,1
GRID_0082,21.629803,79.291286,Sausar Group,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,0.576,4.112,2.951,413.4,10.75,257.37,0.4772,0.2492,0.1592,0.0468,1,1
GRID_0083,21.381263,79.849504,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,5.788,1.476,1.063,368.75,11.19,18.99,0.4902,0.2373,0.2538,0.2085,0,1
GRID_0084,21.154025,80.472908,Alluvium,Alluvium,Alluvium,Other,Mixed Terrain,2.819,1.562,0.607,501.06,4.39,239.11,0.4548,0.4311,0.122,0.2136,1,1
GRID_0085,21.364335,79.954183,Sausar Group,Marble,Marble,Stratiform/Stratabound,Metamorphic Terrain,5.435,7.468,0.22,458.04,9.17,20.4,0.7398,0.4121,0.332,0.1145,0,1
GRID_0086,21.376406,79.896938,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,2.628,3.561,0.488,250.0,12.57,10.15,0.4525,0.1262,0.2792,0.2016,0,1
GRID_0087,21.720165,79.347663,Sausar Group,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,1.655,1.039,0.359,593.68,7.39,54.87,0.4607,0.3087,0.236,0.1869,1,1
GRID_0088,21.641924,80.119492,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,2.431,1.096,1.394,492.72,5.03,235.31,0.3389,0.1554,0.1589,0.2528,1,1
GRID_0089,21.854131,80.350944,Other Metasedimentary,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,1.321,2.228,2.238,397.61,6.33,19.02,0.5811,-0.054,0.2527,0.2063,1,1
GRID_0090,21.501383,79.732588,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,3.443,0.367,0.41,481.48,13.72,7.52,0.7015,0.2731,0.1348,0.18,1,1
GRID_0091,21.201655,80.285857,Alluvium,Alluvium,Alluvium,Other,Mixed Terrain,3.482,3.072,2.016,465.84,7.72,42.47,0.3295,0.1061,0.218,0.1001,0,1
GRID_0092,21.706258,80.550267,Granite,Granite,Granite,Other,Mixed Terrain,1.135,1.368,0.919,472.1,16.54,341.9,0.4126,0.0849,0.2691,0.062,0,1
GRID_0093,21.746667,79.485273,Granite,Granite,Granite,Other,Mixed Terrain,4.02,0.356,0.795,356.0,5.33,326.62,0.058,0.0983,0.1901,0.2559,0,1
GRID_0094,21.577086,79.932661,Other Metasedimentary,Phyllite,Phyllite,Stratiform/Stratabound,Metamorphic Terrain,4.0,5.157,2.665,436.05,5.98,31.13,0.2961,0.0744,0.2372,0.2036,0,1
GRID_0095,21.755322,79.601993,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,1.606,5.422,3.897,455.68,2.38,109.44,0.7451,0.4365,0.4031,0.1656,1,1
GRID_0096,21.519726,80.309996,Granite,Granite,Granite,Other,Mixed Terrain,2.02,0.225,1.933,534.71,12.29,341.03,0.3824,0.0113,0.1148,0.2133,0,1
GRID_0097,21.544323,80.008631,Sausar Group,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,3.542,1.122,0.259,438.72,8.38,35.17,0.4663,0.1585,0.1859,0.1658,0,1
GRID_0098,21.46341,80.088415,Sausar Group,Marble,Marble,Stratiform/Stratabound,Metamorphic Terrain,0.753,1.989,1.392,466.65,4.4,34.05,0.3134,-0.0564,0.2219,0.0599,1,1
GRID_0099,21.121606,80.31708,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,4.596,2.403,0.597,352.63,6.57,30.96,0.5017,0.0776,0.2029,0.2408,1,1
GRID_0100,21.191708,79.754359,Sausar Group,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,4.548,3.002,4.488,435.72,9.94,351.53,0.4021,-0.0039,0.2717,0.2484,0,1
GRID_0101,21.126715,80.481126,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,4.265,1.452,2.073,503.7,4.69,267.52,0.4957,0.2523,0.2778,0.1603,0,1
GRID_0102,21.640949,79.94624,Granite,Granite,Granite,Other,Mixed Terrain,1.547,3.309,0.505,371.84,9.37,77.21,0.4467,-0.0333,0.2432,0.1775,1,1
GRID_0103,21.367203,79.421137,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,4.314,6.619,0.885,397.01,11.6,16.54,0.6609,0.3803,0.2495,0.1432,0,1
GRID_0104,21.532285,80.174259,Sausar Group,Marble,Marble,Stratiform/Stratabound,Metamorphic Terrain,1.967,1.123,1.118,348.07,6.27,347.49,0.457,-0.004,0.1142,0.2907,1,1
GRID_0105,21.871432,80.310566,Sausar Group,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,4.995,4.654,0.37,314.79,0.55,153.18,0.2965,0.0345,0.2731,0.2522,0,1
GRID_0106,21.311898,79.643466,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,1.073,2.1,1.296,356.84,6.92,215.42,0.3282,0.2744,0.2535,0.1313,0,1
GRID_0107,21.448825,80.400051,Other Metasedimentary,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,2.775,0.287,2.568,477.8,5.98,100.51,0.131,0.443,0.1915,0.2163,1,1
GRID_0108,21.742218,80.468601,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,0.701,0.557,0.167,409.08,3.02,273.01,0.4501,0.1189,0.3533,0.1274,1,1
GRID_0109,21.294478,79.587666,Other Metasedimentary,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,1.401,1.067,0.753,357.12,10.35,70.85,0.4198,0.2632,0.2348,0.1312,1,1
GRID_0110,21.165433,80.57693,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,1.278,2.098,3.161,615.22,10.5,283.29,0.6721,0.0338,0.2558,0.1534,1,1
GRID_0111,21.346289,79.396996,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,1.375,0.656,4.255,370.35,8.87,83.02,0.2423,0.1085,0.2371,0.1435,1,1
GRID_0112,21.237038,79.482822,Granite,Granite,Granite,Other,Mixed Terrain,1.126,2.318,1.71,483.09,6.27,35.25,0.3184,0.1648,0.1245,0.0865,0,1
GRID_0113,21.890243,79.457915,Sausar Group,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,1.59,1.614,0.454,458.3,8.54,172.38,0.3201,0.0641,0.1691,0.2596,0,1
GRID_0114,21.786902,80.451586,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,1.095,3.604,2.028,451.1,5.4,292.76,0.3894,0.3397,0.2206,0.1927,1,1
GRID_0115,21.638393,80.11601,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,5.331,2.475,2.282,274.38,10.74,138.55,0.2282,0.2923,0.3087,0.2732,1,1
GRID_0116,21.840742,79.412946,Granite,Granite,Granite,Other,Mixed Terrain,0.659,2.33,1.355,537.96,6.25,10.39,0.3854,0.1056,0.208,0.17,0,1
GRID_0117,21.783121,79.816453,Other Metasedimentary,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,2.173,1.386,0.75,457.16,6.99,199.19,0.433,-0.1633,0.2544,0.0919,1,1
GRID_0118,21.258585,80.061417,Granite,Granite,Granite,Other,Mixed Terrain,2.456,2.068,1.925,508.11,7.32,244.97,0.4378,0.0784,0.2718,0.2415,0,1
GRID_0119,21.858675,79.31685,Sausar Group,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,1.171,1.791,1.004,526.79,21.07,266.65,0.6337,0.3563,0.184,0.1957,1,1
GRID_0120,21.558441,80.435383,Alluvium,Alluvium,Alluvium,Other,Mixed Terrain,2.224,1.558,2.048,575.66,3.92,144.69,0.4252,0.1625,0.1745,0.1641,0,1
GRID_0121,21.786324,80.325045,Sausar Group,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,5.334,0.782,0.455,345.14,6.12,34.93,0.4214,0.3233,0.1924,0.2523,0,1
GRID_0122,21.861678,79.907289,Granite,Granite,Granite,Other,Mixed Terrain,5.43,3.615,0.5,368.9,1.59,210.36,0.6132,0.4112,0.188,0.0994,0,1
GRID_0123,21.370303,80.553977,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,2.181,1.989,1.949,380.53,9.02,118.64,0.4296,0.265,0.1639,0.2389,1,1
GRID_0124,21.193544,79.784865,Other Metasedimentary,Phyllite,Phyllite,Stratiform/Stratabound,Metamorphic Terrain,2.59,2.911,0.456,356.37,14.92,340.88,0.2355,0.3382,0.3004,0.2231,1,1
GRID_0125,21.293745,80.577754,Alluvium,Alluvium,Alluvium,Other,Mixed Terrain,5.918,1.99,1.059,542.34,7.08,180.98,0.2576,0.1003,0.281,0.1939,0,1
GRID_0126,21.463042,80.135088,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,3.029,1.348,0.951,344.73,5.43,170.02,0.2591,0.3429,0.1642,0.0913,0,1
GRID_0127,21.795313,80.08854,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,4.591,0.829,0.388,397.76,7.76,111.32,0.235,0.1504,0.2517,0.2363,0,1
GRID_0128,21.831621,79.432337,Other Metasedimentary,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,0.658,1.688,0.602,291.32,12.14,121.96,0.7497,0.0727,0.2175,0.2247,1,1
GRID_0129,21.105909,80.434699,Sausar Group,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,1.111,2.074,0.108,492.22,13.53,184.59,0.2585,0.476,0.2316,0.196,0,1
GRID_0130,21.534135,79.798486,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,0.737,0.196,1.3,419.15,3.81,110.4,0.4233,0.1772,0.2423,0.1767,1,1
GRID_0131,21.454799,79.427127,Sausar Group,Marble,Marble,Stratiform/Stratabound,Metamorphic Terrain,6.311,3.443,0.345,505.08,10.63,321.23,0.4388,0.0802,0.1364,0.1123,1,1
GRID_0132,21.288792,79.217651,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,1.024,1.573,0.56,489.59,7.59,158.05,0.4017,0.2395,0.1006,0.1128,1,1
GRID_0133,21.201886,79.983658,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,2.466,2.823,1.689,290.48,13.77,105.13,0.3052,0.028,0.2414,0.1335,0,1
GRID_0134,21.386973,79.938359,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,2.91,4.139,3.219,445.72,17.18,55.94,0.5028,0.0042,0.2128,0.0855,0,1
GRID_0135,21.901473,80.207095,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,1.868,1.228,0.864,337.29,15.28,242.05,0.1862,0.1506,0.2244,0.0875,0,1
GRID_0136,21.374722,80.446361,Sausar Group,Marble,Marble,Stratiform/Stratabound,Metamorphic Terrain,0.796,5.17,0.483,442.0,4.06,9.28,0.2595,-0.0216,0.1945,0.1534,1,1
GRID_0137,21.540972,79.311169,Alluvium,Alluvium,Alluvium,Other,Mixed Terrain,6.395,0.969,0.77,380.18,4.63,162.0,0.6095,0.1136,0.2392,0.1,0,1
